Index,Price_1,Price_2,Price_3,Price_4,Price_5
128,980.0,1014.9,1016.0,1002.0,1013.3
129,979.6,1014.9,1019.0,998.0,1012.9
130,982.9,1014.6,1015.2,997.0,1016.9
131,983.6,1018.0,1014.2,996.8,1016.8
132,983.8,1018.2,1013.6,996.8,1017.0
133,979.8,1014.2,1013.6,995.8,1013.1
134,979.4,1017.4,1012.6,994.8,1016.4
135,978.4,1013.8,1011.6,993.8,1013.0
136,978.2,1013.5,1015.0,997.5,1016.8
137,982.2,1013.0,1015.0,993.5,1016.9
138,982.4,1012.7,1016.0,997.4,1016.9
139,982.4,1012.6,1017.0,998.4,1017.9
140,982.4,1012.2,1017.0,998.4,1014.2
141,983.4,1016.2,1018.0,995.2,1018.2
142,980.0,1012.2,1019.0,999.1,1019.2
143,979.0,1016.2,1020.0,999.1,1019.4
144,984.0,1012.6,1020.0,995.8,1019.4
145,979.4,1016.6,1021.0,994.8,1020.4
146,983.4,1012.8,1022.0,994.1,1021.4
147,984.4,1012.8,1023.0,993.2,1018.4
148,985.4,1016.5,1024.0,992.2,1022.4
149,981.2,1016.5,1025.0,991.2,1022.5
150,981.2,1017.5,1026.0,994.6,1023.5
151,980.2,1018.5,1022.8,994.6,1023.7
152,980.1,1014.8,1022.2,995.2,1020.4
153,979.1,1018.8,1026.2,995.2,1020.3
154,979.1,1014.4,1022.6,996.2,1019.3
155,978.8,1018.4,1026.2,992.8,1018.3
156,978.8,1019.4,1022.2,996.8,1024.3
157,977.8,1015.3,1021.2,996.7,1017.9
158,977.4,1019.2,1026.2,996.8,1017.8
159,977.4,1019.3,1027.2,992.8,1016.8
160,976.4,1019.3,1028.2,991.8,1016.8
161,975.5,1019.8,1029.2,991.5,1016.2
162,975.5,1019.8,1030.2,990.5,1020.1
163,978.8,1020.8,1031.2,995.5,1021.1
164,975.6,1021.8,1032.2,994.3,1021.1
165,974.6,1018.6,1033.2,990.4,1022.1
166,974.0,1018.6,1034.2,990.3,1023.1
167,973.0,1017.8,1035.2,994.2,1019.4
168,978.0,1021.8,1036.2,991.0,1019.4
169,979.0,1017.8,1037.2,990.9,1018.4
170,980.0,1021.8,1038.2,989.9,1017.4
171,975.8,1022.0,1039.2,988.9,1020.4
172,974.8,1022.0,1040.2,987.9,1016.4
173,978.1,1023.0,1041.2,986.9,1015.8
174,974.1,1023.5,1042.2,989.9,1015.6
175,973.6,1019.5,1043.2,986.2,1019.5
176,973.6,1019.0,1042.3,989.7,1019.7
177,973.3,1018.0,1038.3,986.5,1019.8
178,977.1,1022.0,1038.5,986.4,1019.8
179,973.1,1022.8,1037.8,986.4,1020.8
180,972.1,1023.0,1041.2,986.0,1021.8
181,977.0,1024.0,1042.2,986.0,1022.8
182,973.2,1025.0,1042.2,989.4,1017.8
183,977.0,1021.0,1043.2,989.4,1016.8
184,977.2,1021.0,1044.2,990.4,1017.9
185,977.5,1024.6,1045.0,991.4,1021.9
186,978.5,1021.0,1045.0,992.4,1017.5
187,978.5,1021.0,1046.0,992.5,1017.5
188,979.5,1020.0,1046.3,993.5,1021.5
189,976.0,1019.0,1047.3,988.5,1021.7
190,975.0,1019.0,1048.3,989.2,1021.8
191,978.5,1018.6,1049.3,993.2,1022.8
192,974.5,1022.5,1050.3,994.2,1023.8
193,974.3,1018.5,1050.4,993.8,1024.8
194,974.3,1017.5,1046.4,990.5,1025.2
195,977.9,1016.5,1045.4,994.5,1021.2
196,977.9,1015.5,1044.4,991.2,1021.4
197,978.9,1015.5,1043.4,991.0,1021.4
198,979.9,1019.5,1050.4,995.0,1020.4
199,980.2,1014.8,1051.4,991.2,1020.0
200,980.2,1013.8,1052.4,995.2,1023.6
201,981.2,1012.8,1049.8,992.0,1024.6
202,976.2,1018.8,1049.8,996.0,1020.8
203,976.6,1016.8,1050.8,997.0,1024.0
204,980.6,1017.0,1051.8,998.0,1024.0
205,981.6,1013.0,1048.5,994.0,1025.0
206,982.6,1013.0,1052.1,998.0,1026.0
207,983.0,1017.0,1052.1,994.0,1022.5
208,979.4,1012.8,1053.1,997.3,1022.1
209,979.4,1012.8,1054.1,997.8,1021.1
210,979.0,1016.0,1055.1,998.8,1020.7
211,982.8,1017.0,1056.1,999.8,1020.7
212,983.0,1018.0,1057.1,1000.8,1024.1
213,979.3,1014.3,1058.1,1001.8,1024.1
214,983.3,1013.3,1059.1,1002.3,1025.1
215,979.6,1012.3,1060.1,1003.2,1026.1
216,983.4,1018.3,1061.1,1000.1,1026.2
217,983.4,1012.6,1062.1,1003.4,1027.2
218,984.4,1016.6,1063.1,1003.4,1027.9
219,985.4,1017.6,1060.0,1004.0,1028.0
220,981.9,1018.2,1059.0,1004.0,1028.0
221,985.9,1019.2,1062.8,1005.0,1029.0
222,982.5,1020.2,1059.7,1001.5,1029.6
223,982.5,1021.2,1058.7,1000.5,1025.6
224,986.0,1021.5,1057.7,1003.7,1026.0
225,986.4,1017.5,1056.7,1004.7,1025.9
226,987.4,1016.5,1055.7,1005.7,1024.9
227,987.5,1015.5,1054.7,1001.8,1028.8
228,983.5,1014.5,1058.2,1005.4,1025.4
229,982.5,1017.9,1054.8,1001.4,1029.2
230,981.5,1014.0,1054.8,1000.4,1025.2
231,986.0,1017.0,1053.8,999.4,1024.2
232,986.4,1013.0,1052.8,1003.3,1023.2
233,987.4,1012.0,1051.8,1003.3,1022.6
234,982.4,1011.0,1050.8,1004.3,1025.8
235,986.5,1014.3,1049.8,1004.4,1025.9
236,986.5,1014.5,1053.0,1005.4,1026.9
237,987.5,1014.5,1049.0,1005.7,1027.0
238,987.7,1011.5,1049.0,1006.7,1023.0
239,987.7,1015.2,1048.0,1007.1,1026.4
240,984.5,1011.6,1047.0,1003.4,1027.4
241,984.5,1010.6,1046.0,1002.4,1024.2
242,983.5,1014.6,1045.0,1002.2,1023.2
243,982.8,1014.6,1044.0,1001.2,1023.2
244,986.8,1015.6,1043.0,1000.5,1022.2
245,982.0,1016.6,1042.0,999.5,1021.8
246,986.0,1012.6,1041.0,999.4,1025.7
247,981.8,1016.5,1040.0,998.8,1022.0
248,985.8,1016.6,1039.0,997.8,1021.0
249,986.8,1012.6,1038.0,1001.5,1020.4
250,982.6,1015.9,1041.4,997.5,1019.4
251,982.1,1016.0,1041.4,1001.4,1018.4
252,981.1,1012.8,1042.4,997.4,1017.4
253,980.1,1016.8,1038.8,1000.7,1024.4
254,986.1,1017.8,1042.8,1000.7,1020.8
255,983.8,1018.8,1043.8,1001.0,1021.8
256,980.5,1019.8,1044.8,997.0,1022.0
257,984.5,1012.8,1045.8,997.6,1022.0
258,984.5,1015.4,1046.8,997.6,1022.8
259,985.5,1015.2,1047.2,1001.6,1022.9
260,986.5,1015.2,1047.2,997.8,1023.9
261,987.5,1014.2,1048.2,1001.8,1020.5
262,988.5,1013.2,1048.9,997.0,1020.4
263,985.1,1016.7,1049.9,997.0,1024.2
264,984.6,1017.7,1050.9,997.0,1020.6
265,988.6,1012.7,1051.9,996.0,1019.6
266,984.4,1018.3,1052.9,999.2,1018.8
267,983.5,1019.3,1053.9,995.4,1018.8
268,987.3,1019.7,1050.0,994.4,1017.8
